Archetype,Recency,Frequency,Average_Order_Value,Average_Session_Duration,Cart_Abandonment_Rate,Product_Views_per_Session,Last_Used_Platform,Total_Spend_Last_Year,Customer_Support_Interactions_Score
Loyal Low-Spenders,23,18,24.38,8599,0.1083,3,Web,417.93,4.34
Potential High-Value,52,4,305.62,23220,0.3892,17,Web,1103.68,8.01
Loyal Low-Spenders,17,14,26.04,10530,0.012,6,Web,348.33,7.16
Potential High-Value,69,2,314.59,21544,0.2979,21,Web,585.76,4.46
Champions,7,29,234.82,6564,0.0006,2,Web,8320.1,5.9
Loyal Low-Spenders,19,10,35.69,8768,0.0531,2,Web,405.78,6.23
Window Shoppers,64,0,0,31018,0.9304,30,Web,0,5.89
Loyal Low-Spenders,19,22,22.69,10676,0.0753,8,Mobile App,475.45,5.41
Champions,7,23,191.21,5860,0.0048,2,Mobile App,4672.87,4.49
At-Risk,292,0,40.89,4415,0.5859,1,Web,0,7.25
Window Shoppers,88,0,0,32895,0.9741,28,Web,0,5.14
Loyal Low-Spenders,22,15,25.29,9418,0.0115,3,Web,322.17,4.55
Loyal Low-Spenders,25,18,25.8,11468,0.0296,4,Web,481.36,3.62
Loyal Low-Spenders,20,19,28.5,10483,0.0798,3,Web,559.12,1.9
Loyal Low-Spenders,16,17,32.1,10405,0.0021,2,Mobile App,489.07,3.93
Champions,5,26,184.44,5033,0.023,2,Web,4419.6,4.34
Window Shoppers,62,0,0,32149,0.9568,19,Mobile App,0,6.98
Loyal Low-Spenders,24,24,31.76,8133,0.0295,3,Web,896.36,2.4
Loyal Low-Spenders,18,10,25.98,7172,0.0084,3,Mobile App,251.49,7.04
At-Risk,266,2,44.8,4192,0.6538,3,Web,96.06,4.96
Potential High-Value,70,2,278.64,23705,0.3998,13,Mobile App,520.56,3.32
Loyal Low-Spenders,23,21,30,7885,0.0398,6,Web,694.72,5.17
Loyal Low-Spenders,21,12,28.16,,0.0018,2,Mobile App,329.76,3.98
Window Shoppers,63,0,0,32737,0.9206,24,Mobile App,0,6.29
At-Risk,244,2,54.29,5048,0.3963,1,Mobile App,120.89,8.49
Potential High-Value,62,1,339.98,22279,0.2104,17,Web,403.63,3.64
Window Shoppers,108,0,0,37168,0.9246,18,Mobile App,0,6.76
At-Risk,250,1,42.73,2864,0.5841,1,Mobile App,39.51,5.12
Window Shoppers,44,0,0,39571,0.9114,27,Web,0,
Window Shoppers,73,0,0,35522,0.9655,16,Mobile App,0,0.03
Loyal Low-Spenders,15,27,27.98,8088,0.1367,4,Web,908.62,6.74
At-Risk,268,1,46.94,4480,0.5124,1,Web,50.57,8.36
At-Risk,271,0,50.43,3487,0.4429,1,Web,0,5.49
Window Shoppers,122,0,0,36590,0.9514,25,Web,0,5.66
Champions,9,31,217.77,7342,0.0132,2,Tablet,7609.1,1.12
Loyal Low-Spenders,17,21,30.04,9328,0.0476,1,Mobile App,620.18,2.37
At-Risk,276,1,56.22,6014,0.4829,1,Mobile App,58.73,6.19
Potential High-Value,67,2,298.4,19430,0.3589,14,Mobile App,616.46,4.28
Loyal Low-Spenders,23,17,25.93,11425,,1,Web,454.85,4.09
Loyal Low-Spenders,18,14,27.73,8751,0.0148,4,Web,341.86,2.31
Champions,7,30,240.45,7760,0,3,Tablet,8124.33,5.04
Potential High-Value,71,2,315.81,22390,0.3468,12,Mobile App,704.12,4.38
Potential High-Value,65,3,317.33,18841,0.3038,21,Web,981.02,4.38
At-Risk,263,1,47.17,5474,0.4208,1,Mobile App,43.81,5.65
At-Risk,250,0,49.05,,0.5074,2,Mobile App,0,4.8
Window Shoppers,103,0,0,32622,0.9605,31,Mobile App,0,6.76
Window Shoppers,76,0,0,37328,0.9439,30,Web,0,6.69
Champions,9,25,207.61,6764,0.0002,2,Mobile App,5662.09,4.84
At-Risk,268,0,56.29,3858,0.4562,1,Mobile App,0,2.98
Window Shoppers,77,0,0,37884,0.8474,24,Mobile App,0,5.62
Potential High-Value,63,3,317.71,23690,0.3115,7,Mobile App,794.09,6.53
Champions,10,32,215.56,8293,0.0314,3,Mobile App,6896.75,5.03
Champions,8,30,200.87,8181,,1,Mobile App,5502.47,6.14
Window Shoppers,75,0,0,,0.9825,31,Tablet,0,1.1
Potential High-Value,38,1,340.6,22795,0.4389,12,Mobile App,374.59,4.58
At-Risk,297,1,44.51,4230,0.524,1,Mobile App,44.55,5.3
Window Shoppers,83,0,0,36346,0.9578,25,Web,0,5.78
At-Risk,238,0,44.87,5410,0.5698,3,Web,0,6.4
Loyal Low-Spenders,17,16,29.64,6966,0.0374,2,Web,463.63,5.69
Loyal Low-Spenders,24,12,30.82,10922,0.0112,6,Web,372.99,5.71
At-Risk,282,0,43.59,4717,0.314,0,Web,0,6.97
At-Risk,291,0,54.46,3864,0.3961,1,Mobile App,0,3.13
Loyal Low-Spenders,21,12,31.28,10002,0.0777,4,Mobile App,433.82,7.89
Loyal Low-Spenders,24,17,30.19,10082,0.0092,1,Web,516.44,9.76
Loyal Low-Spenders,20,10,30.69,10176,0.0008,3,Mobile App,332.24,5.56
Window Shoppers,93,0,0,36763,0.8973,29,Mobile App,0,
Window Shoppers,83,0,0,34616,0.9702,29,Tablet,0,3.88
Loyal Low-Spenders,19,20,31.18,9341,0.0242,7,Mobile App,681.62,4.28
Potential High-Value,61,4,314.43,23231,0.4565,21,Web,1325.95,6.07
Window Shoppers,85,1,6.89,38664,0.9609,13,Mobile App,6.66,0.54
Champions,10,24,224.36,5358,0.0045,2,Mobile App,5309.34,4.52
At-Risk,271,2,42.99,4516,0.5245,2,Mobile App,97.19,4.9
At-Risk,271,1,42.14,4090,0.5694,1,Web,43.35,6.88
Champions,9,21,173.68,6611,0.0067,1,Tablet,3434.52,3.06
Champions,8,34,198.85,7866,0.0089,2,Web,8122.95,3.77
At-Risk,288,1,42.12,4452,0.3982,1,Mobile App,39.46,5.99
Window Shoppers,72,0,0,32939,0.9767,30,Mobile App,0,4.51
At-Risk,269,1,36.9,3734,0.5042,1,Web,37.67,6.05
Potential High-Value,60,1,268.68,20475,0.4553,22,Web,243.37,4.53
Window Shoppers,58,0,0,33640,0.9592,20,Web,0,3.4
Champions,6,21,198.8,6581,0.0326,1,Mobile App,4697.76,2.83
Loyal Low-Spenders,21,17,33.84,7097,0.0227,4,Web,611.79,7.51
Loyal Low-Spenders,20,14,34.2,9764,0.0507,2,Mobile App,533.81,1.75
Loyal Low-Spenders,17,20,31.15,8137,0.0047,3,Web,598.3,5.33
Potential High-Value,58,1,328.18,22549,0.3524,24,Tablet,271.94,6.08
At-Risk,274,0,52.57,3356,0.523,1,Web,0,4.11
At-Risk,283,1,46.93,4487,0.5982,1,Mobile App,50.04,5.26
Loyal Low-Spenders,18,18,29.6,8803,0.0163,4,Web,479.85,
Champions,13,30,213.08,7618,0,2,Web,6922.54,2.34
At-Risk,286,1,53.43,4990,0.433,2,Mobile App,53.84,3.48
Window Shoppers,90,0,0,36267,0.9492,26,Mobile App,0,3.18
Loyal Low-Spenders,21,17,26.21,9874,,3,Web,501.98,7.52
At-Risk,278,0,35.98,4930,0.4661,1,Web,0,8.31
Window Shoppers,92,0,0,,0.9201,17,Web,0,5.91
At-Risk,233,1,35.36,4106,0.3015,2,Web,42.68,8.12
Loyal Low-Spenders,16,16,32.69,9838,0.0012,3,Mobile App,509.75,4.51
Champions,5,22,211.17,8508,0.037,3,Web,4587.45,0
At-Risk,264,1,49.9,4197,0.508,3,Mobile App,51.2,9.77
At-Risk,315,2,41.61,4136,0.4964,0,Mobile App,68.13,3.03
At-Risk,285,0,48.56,4714,0.5085,1,Mobile App,0,8.49
Loyal Low-Spenders,19,23,36.09,9560,0.0032,4,Web,803.02,7.41
Loyal Low-Spenders,20,21,23.84,5830,0.0047,2,Web,515.5,4.02
Window Shoppers,76,0,0,32948,0.9715,25,Web,0,6.56
Loyal Low-Spenders,18,16,26.69,8165,0.0231,1,Tablet,452.67,7.12
Window Shoppers,65,0,0,36449,0.9507,22,Mobile App,0,5.12
Window Shoppers,97,0,0,35714,0.9674,27,Tablet,0,6.6
Window Shoppers,81,0,0,33725,0.9192,24,Mobile App,0,6.6
Potential High-Value,68,1,250.79,27208,0.2975,19,Web,280.57,6.45
Potential High-Value,80,3,337.27,23429,0.2463,17,Tablet,1098.53,3.21
Window Shoppers,70,0,0,35476,0.9547,25,Mobile App,0,4.61
Potential High-Value,53,1,267.41,24783,0.3068,19,Web,228.54,9.71
Loyal Low-Spenders,20,15,31.86,11042,0.0043,2,Tablet,470.83,5.23
Potential High-Value,70,1,323.6,20420,0.3033,13,Mobile App,312.64,5.22
Loyal Low-Spenders,25,13,32.07,,0.0687,4,Mobile App,367.38,2.41
At-Risk,313,2,52.32,5073,0.4627,2,Web,102.13,4.98
Window Shoppers,77,0,0,36417,0.9574,20,Web,0,4.94
At-Risk,267,0,51.49,5862,0.6472,1,Web,0,
At-Risk,243,0,60.85,3745,0.4166,2,Web,0,7.77
Loyal Low-Spenders,16,15,30.47,11522,0.0077,5,Mobile App,490.8,3.69
At-Risk,254,2,46.14,4359,0.5471,2,Web,85.76,
Window Shoppers,50,0,0,38949,0.9638,19,Tablet,0,4.41
Potential High-Value,55,1,296.24,20669,0.3002,16,Web,301.05,7.74
At-Risk,276,1,53.06,5246,0.3571,0,Web,47.69,7.39
Loyal Low-Spenders,21,17,30.73,8377,,4,Web,532.49,5.01
Window Shoppers,85,0,0,33685,0.9359,27,Web,0,5.08
Loyal Low-Spenders,20,19,29.59,9569,0.0997,8,Web,541.38,6.01
Window Shoppers,85,0,0,35728,0.9757,17,Mobile App,0,3.81
Window Shoppers,73,0,0,32608,0.9637,29,Tablet,0,2.55
Champions,9,19,223.92,7677,0.0094,4,Web,3643.12,4.65
Champions,8,34,215.79,8952,0.0079,3,Web,7457.26,6.26
Potential High-Value,54,2,337.79,22072,0.2517,8,Mobile App,677.44,2.08
Champions,8,23,187.64,7112,0.0069,1,Web,4375.3,2.82
Potential High-Value,47,1,292.07,22068,0.4748,12,Web,320.71,3.94
Champions,6,21,181.26,6082,0.0196,2,Web,4019.66,9.01
At-Risk,246,0,48.14,4287,0.3384,1,Web,0,3.04
Window Shoppers,71,0,0,36134,0.9341,27,Web,0,5.54
Window Shoppers,89,1,7.96,31096,0.9665,21,Tablet,7.28,5.7
Loyal Low-Spenders,21,16,26.83,9961,0.01,4,Web,462.74,4.47
Potential High-Value,56,3,293.85,22115,0.3377,15,Web,874.44,3.75
Potential High-Value,68,1,274.3,23907,0.3937,18,Mobile App,272.67,4.7
Champions,9,29,190.77,5949,0.0002,3,Web,5560.65,6.68
Window Shoppers,90,0,0,30984,0.9926,17,Mobile App,0,0.85
Champions,7,24,209.67,,0.0333,3,Web,4877.71,6.5
Window Shoppers,63,1,10.17,35339,0.9429,17,Web,10.1,5.78
At-Risk,256,1,46.58,3250,0.3552,3,Mobile App,43.78,6.81
Window Shoppers,81,0,0,34506,0.9553,29,Mobile App,0,5.5
Champions,9,21,192.44,6466,0.0057,2,Tablet,4267.77,4.68
Champions,8,20,211.94,6494,0.0126,3,Mobile App,3967.2,7.02
Window Shoppers,96,0,0,36428,0.9555,23,Tablet,0,2.71
Window Shoppers,92,1,7.92,31894,0.9665,23,Mobile App,8.28,5.49
Potential High-Value,66,2,273.95,26116,0.3423,17,Mobile App,491.72,0
Window Shoppers,97,0,0,39130,0.971,23,Web,0,5.33
Potential High-Value,56,1,305.11,22721,0.3419,13,Tablet,331.15,8.4
Potential High-Value,65,1,299.25,20472,0.3281,17,Web,305.47,5.09
Champions,4,25,245.63,5800,0.0117,2,Mobile App,5469.71,1.82
Loyal Low-Spenders,21,22,33.12,9232,0.0277,1,Mobile App,827.38,
Window Shoppers,98,0,0,35343,0.9773,21,Web,0,2.7
At-Risk,258,0,59.45,4548,0.5116,3,Mobile App,0,5.41
Potential High-Value,57,3,295.4,22086,0.4502,25,Web,891.76,1.07
Champions,10,27,219.32,6439,0.0001,3,Web,5530.4,6.82
At-Risk,282,3,58.38,4606,0.4093,0,Web,150.89,7.03
Window Shoppers,72,0,0,38104,0.965,20,Web,0,3.17
Potential High-Value,57,3,344.73,20687,0.3087,21,Web,1104.11,5.57
Loyal Low-Spenders,24,19,34.67,8108,0.0145,2,Mobile App,657.75,6.28
Potential High-Value,55,4,371.9,20995,0.437,19,Web,1504.63,8.22
At-Risk,262,0,53.48,5144,0.412,3,Tablet,0,3.49
Champions,11,23,232.01,8437,0.0182,5,Mobile App,5351.55,1.9
Potential High-Value,58,2,298.09,19798,0.5742,13,Web,520.2,5.19
Window Shoppers,71,0,0,36338,0.966,15,Mobile App,0,2.61
Window Shoppers,82,0,0,36207,0.9715,18,Mobile App,0,5.35
Window Shoppers,91,0,0,37564,0.9038,33,Web,0,5.8
Loyal Low-Spenders,17,12,34.88,7466,0.0073,4,Mobile App,455.59,2.88
Window Shoppers,80,0,0,34162,0.7995,21,Web,0,5.02
Loyal Low-Spenders,21,19,34.58,7565,0.0217,3,Web,668.41,5.71
Window Shoppers,81,0,0,34717,0.9744,27,Web,0,2.29
Loyal Low-Spenders,17,13,31.06,9640,0.0164,1,Mobile App,384.98,5.66
Window Shoppers,78,0,0,33395,0.9587,24,Mobile App,0,6.3
At-Risk,289,1,56.9,3508,0.5099,2,Mobile App,54.32,6.46
Window Shoppers,79,0,0,35579,0.976,26,Web,0,4.88
At-Risk,301,3,58.77,4367,0.4915,0,Mobile App,182.89,3.77
At-Risk,273,1,50.12,4117,0.5307,2,Web,47.13,4.2
Window Shoppers,94,0,0,35947,0.9315,22,Tablet,0,2.52
At-Risk,252,0,59.9,3158,0.4157,2,Mobile App,0,3.46
Potential High-Value,53,1,288.62,28017,0.3303,15,Mobile App,278.29,6.06
Window Shoppers,84,0,0,31147,0.9356,31,Web,0,3.78
Loyal Low-Spenders,22,16,28.31,6907,0.064,5,Web,487.52,
Potential High-Value,51,1,264.38,19585,0.3075,16,Mobile App,268.06,6.08
Champions,5,27,241.14,,0.0176,2,Web,7410.62,4.93
At-Risk,258,3,53.79,5357,0.4922,2,Tablet,147.61,2.99
Window Shoppers,69,0,0,33411,0.9355,36,Tablet,0,6.32
Potential High-Value,64,2,321.8,26149,0.4757,24,Mobile App,634.9,3.86
Window Shoppers,80,0,0,41788,0.9154,19,Web,0,7.75
Loyal Low-Spenders,20,14,27.77,8479,0.033,4,Web,309.48,4.85
At-Risk,249,1,60.03,5504,0.5553,1,Mobile App,64.76,4.73
Potential High-Value,54,4,296,,,14,Mobile App,1260.4,7.4
Loyal Low-Spenders,23,8,31.63,10146,0.0098,2,Mobile App,262.84,4.88
Potential High-Value,55,1,301.09,23474,0.459,9,Web,275.93,3.66
At-Risk,298,2,54.2,2645,0.4455,4,Web,112.57,2.98
At-Risk,267,0,30.45,4236,0.618,4,Web,0,9.99
Champions,8,16,218.62,7356,0.0028,3,Mobile App,3762.88,3.57
Window Shoppers,91,0,0,,0.9516,20,Tablet,0,9.28
Window Shoppers,99,0,0,36210,0.9296,25,Mobile App,0,5.19
Champions,7,36,218.28,8187,,4,Mobile App,6594.03,2.86
Potential High-Value,58,1,307.63,20630,0.2204,10,Web,278.5,6.93
Loyal Low-Spenders,25,17,24.8,8055,,3,Mobile App,498.47,3.16
Potential High-Value,66,2,320.92,23933,0.2114,15,Web,672.73,7.75
Window Shoppers,61,0,0,33269,0.9239,24,Mobile App,0,6.09
At-Risk,285,0,57.58,5053,0.5157,3,Mobile App,0,2.03
Loyal Low-Spenders,20,23,30.43,9771,0.0128,7,Web,745.36,3.45
Potential High-Value,51,2,294.43,22255,0.2994,12,Mobile App,614.1,4.36
Champions,9,28,230.85,7747,0.0183,2,Web,6662.08,7.2
Potential High-Value,57,4,294.29,22750,0.3803,21,Mobile App,1334.92,5.23
At-Risk,268,1,46.86,5974,0.4801,0,Tablet,46.44,4.07
Loyal Low-Spenders,20,19,29.91,8375,0.048,4,Mobile App,614.83,4.08
Window Shoppers,101,0,0,36317,0.9816,27,Web,0,5.95
Window Shoppers,80,0,0,32921,0.9515,31,Mobile App,0,4.27
Loyal Low-Spenders,24,18,29.44,8856,0.0564,5,Mobile App,426.21,2.89
Champions,10,25,218.25,7346,0.0179,2,Mobile App,6242.08,3.91
Champions,10,21,205.49,8293,0.0015,2,Tablet,3186.41,
At-Risk,272,1,33.76,4726,0.4726,1,Web,34.99,4.94
At-Risk,294,1,50.58,,0.405,6,Mobile App,56.44,4.46
Window Shoppers,52,0,0,32622,0.9558,27,Mobile App,0,3.05
Window Shoppers,81,0,0,36241,0.9733,16,Mobile App,0,3.12
Window Shoppers,62,0,0,32057,0.9184,22,Mobile App,0,4.08
Window Shoppers,58,0,0,36418,0.9576,17,Web,0,8.13
Loyal Low-Spenders,16,19,25.39,8677,0.0546,5,Web,475.16,4.77
Champions,7,25,202.36,7815,0.0037,1,Tablet,5842.32,3.82
Potential High-Value,65,2,311.57,23844,0.4268,17,Mobile App,645.66,9.76
Champions,7,30,197.36,6370,0.0016,1,Web,6131.47,7.19
Potential High-Value,51,2,375.87,22626,,11,Web,668.81,9.22
Window Shoppers,83,0,0,39121,0.9424,17,Web,0,4.45
At-Risk,307,1,47.46,3950,0.6347,0,Tablet,46.18,3.9
Loyal Low-Spenders,20,11,32.17,8999,0.0119,4,Mobile App,278.57,5.84
Champions,10,22,217.47,7075,0.0173,1,Web,4943.74,5.07
At-Risk,271,3,44.36,5343,0.5366,0,Mobile App,140.11,4.34
Potential High-Value,58,3,273.53,23520,0.2912,11,Mobile App,763.07,8.49
At-Risk,245,1,51.57,4343,0.4922,2,Web,58.2,6.17
Potential High-Value,58,3,315.7,21659,0.2365,22,Web,845.66,4.54
Potential High-Value,75,3,345.07,22176,0.445,21,Web,861.17,8.18
At-Risk,258,3,45.02,2458,0.5743,1,Mobile App,134.56,4.76
Loyal Low-Spenders,21,13,31.04,7357,0.0101,2,Mobile App,446.43,3.42
Window Shoppers,76,0,0,37100,0.9848,22,Web,0,6.9
